Power [dBm],HDOP,VDOP,TDOP,Mlat,Mlong,Mheight,Mx,My,Mz,Slat,Slong,Sheight,Sx,Sy,Sz
-40,0.9,1.47,0.89,56.93982,7.53846,184.45526,2846220.56,2198653.12,5249970.26,0.012059,0.018311,0.542361,0.331513,0.216563,0.615135
-30,0.9,1.47,0.89,56.92505,7.540207,184.55666,2846220.87,2198653.44,5249970.08,0.011959,0.022789,0.575481,0.469146,0.29767,0.563449
-20,0.89,1.46,0.89,56.92741,7.5581,184.62228,2846220.68,2198653.64,5249970.18,0.01845,0.029993,0.659863,0.587758,0.6583,0.505685
-15,0.89,1.6,0.89,56.92148,7.53351,184.46908,2846220.99,2198653.35,5249969.95,0.037406,0.044522,1.150619,1.071059,1.025253,1.032791
-10,0.89,1.45,0.88,56.90312,7.48124,186.46563,2846222.81,2198653.6,5249971.28,0.215534,0.08697,5.563733,6.581165,5.138465,2.82404
-5,0.89,1.44,0.88,56.97033,7.4507,183.09396,2846220.27,2198650.97,5249969.66,0.388646,0.148524,5.517553,12.649397,10.990087,12.749795
