Power [dBm],HDOP,VDOP,TDOP,Mlat,Mlong,Mheight,Mx,My,Mz,Slat,Slong,Sheight,Sx,Sy,Sz
-50,0.57,0.74,0.43,56.9758,7.44028,187.76259,2846222.35,2198652.34,5249973.62,0.009395,0.21315,0.510015,0.392158,0.328552,0.47003
-40,0.59,0.8,0.45,56.90287,7.43546,185.11793,2846222.70,2198652.51,5249970.16,0.010351,0.011868,0.471926,0.347317,0.263949,0.421579
-30,0.62,0.8,0.45,56.90696,7.41822,184.88383,2846222.70,2198652.12,5249970.04,0.005589,0.01318,0.392236,0.297951,0.234857,0.304322
-20,0.57,0.77,0.42,56.94225,7.3817,184.70237,2846222.29,2198651.00,5249970.51,0.025118,0.04,1.26,1.0,0.79,1.03
-15,1.21,2.05,1.69,56.908,7.468893,185.80835,2846222.55,2198653.13,5249970.82,0.050381,0.038367,3.23,1.97,2.12,2.23
-10,1.17,1.61,1.36,56.9100,7.46890,185.80562,2846222.49,2198653.05,5249970.90,0.072531,0.048582,4.8,2.2,2.2,3.2
-5,1.43,1.96,1.57,56.9158,7.46894,185.80162,2846222.39,2198653.00,5249970.95,0.097531,0.059582,7.182808,2.9,2.57,6.83
