Power [dBm],HDOP,VDOP,TDOP,Mlat,Mlong,Mheight,Mx,My,Mz,Slat,Slong,Sheight,Sx,Sy,Sz
-60,0.92,1.22,0.75,56.96076,7.45111,186.81654,2846222.12,2198652.4,5249972.57,0.01453,0.011455,0.44145,0.427918,0.323298,0.386104
-50,0.92,1.22,0.75,56.96261,7.47454,185.00359,2846221.03,2198652.07,5249971.1,0.020371,0.012381,1.855955,0.585846,0.381525,0.14373
-40,0.92,1.21,0.74,56.97124,7.48004,185.05259,2846222.23,2198653.12,5249971.08,0.031872,0.016968,0.79546,0.823569,0.708136,0.715694
-30,0.87,1.18,0.69,56.88496,7.41969,183.14703,2846221.7,2198652.04,5249977.51,0.02017,0.034547,1.109534,0.64686,0.950552,0.772616
-25,1.05,1.3,0.8,57.06174,7.46955,180.01612,2846221.14,2198651.83,5249965.11,0.068776,0.049894,3.70037,1.0052134,0.994748,1.108249
-20,0.98,1.4,0.81,57.12375,7.59202,191.86246,2846222.44,2198649.81,5249979.58,0.354107,0.378949,10.965878,1.721896,7.79122,3.003826
-15,1,0.85,0.57,57.16634,8.01114,199.33759,2846222.27,2198646.36,5249986.15,0.445217,0.598621,20.42421,11.843937,9.164584,10.610144
