Power [dBm],HDOP,VDOP,TDOP,Mlat,Mlong,Mheight,Mx,My,Mz,Slat,Slong,Sheight,Sx,Sy,Sz
-40,0.9,1.47,0.89,56.91926,7.49364,185.76906,2846222.04,2198653.28,5249970.98,0.022727,0.045652,0.8323967,0.876374,0.713534,0.727666
-30,0.9,1.47,0.89,56.93982,7.53846,184.45526,2846220.56,2198653.12,5249970.26,0.012059,0.018311,0.542361,0.331513,0.216563,0.615135
-20,0.9,1.47,0.89,56.92505,7.540207,184.55666,2846220.87,2198653.44,5249970.08,0.011959,0.022789,0.575481,0.469146,0.29767,0.563449
-15,0.89,1.46,0.89,56.92741,7.5581,184.62228,2846220.68,2198653.64,5249970.18,0.01845,0.029993,0.659863,0.587758,0.6583,0.505685
-10,0.89,1.6,0.89,56.92148,7.53351,184.46908,2846220.99,2198653.35,5249969.95,0.037406,0.044522,1.150619,2.071059,1.025253,1.032791
-5,0.89,1.45,0.88,56.90312,7.48124,186.46563,2846222.81,2198653.9,5249971.28,0.305534,0.08697,5.563733,8.581165,9.138465,2.82404
0,0.89,1.44,0.88,57.17033,7.307,183.09396,2846224.27,2198649.97,5249975.66,0.768646,0.448524,5.517553,14.649397,8.990087,12.749795
