Power [dBm],HDOP,VDOP,TDOP,Mlat,Mlong,Mheight,Mx,My,Mz,Slat,Slong,Sheight,Sx,Sy,Sz
-50,1.18,1.9,1.28,56.97122,7.1781,185.95319,2846224.43,2198648.17,5249972.04,0.014996,0.038358,1.680745,1.680745,0.629464,1.57533
-40,0.95,1.19,0.71,56.9685,7.22087,187.24493,2846224.31,2198649.25,5249973.06,0.011984,0.03824,0.765572,0.586207,0.557867,0.716388
-30,0.94,1.2,0.71,56.97236,7.24058,188.63412,2846224.94,219849.94,5249974.28,0.01057,0.037653,1.2148441,0.635759,0.56268,1.172912
-20,0.94,1.2,0.71,56.97461,7.2748,189.726,2846225.01,2198650.75,5249975.22,0.007069,0.040919,0.784267,0.493605,0.653549,0.707923
-15,0.83,1.13,0.63,56.92871,7.73361,189.144,2946224.63,2198652.63,5249973.94,0.009501,0.047456,1.25334,0.0605312,0.80763,1.150315
-10,0.83,1.14,0.63,56.87176,7.41553,187.23228,2846224.49,2198653.44,5249971.37,0.047257,0.095808,3.215782,0.56233,1.750287,3.447966
-5,0.84,1.15,0.64,56.90001,7.47144,190.24097,2846224.66,2198654.81,5249974.35,0.076836,0.16303,4.708145,1.256497,2.688875,5.204405
